Baseline,Fine-tuned
0.85,0.0
0.75,0.5
0.9,0.5
1.0,0.125
1.0,1.0
1.0,1.0
1.0,0.25
0.75,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.9
1.0,0.85
1.0,1.0
0.95,0.9
1.0,0.85
1.0,0.75
1.0,0.9
1.0,0.95
0.75,0.5
0.75,0.5
1.0,1.0
0.5,0.0
1.0,0.375
1.0,1.0
0.75,0.85
1.0,1.0
0.75,0.0
1.0,1.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
0.95,0.6
1.0,0.0
0.5,0.0
1.0,1.0
1.0,0.8
0.5,0.5
0.5,0.5
0.75,0.85
0.75,1.0
1.0,1.0
1.0,0.95
0.5,0.0
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
0.95,1.0
1.0,1.0
0.9,1.0
0.25,1.0
1.0,0.95
0.5,0.5
0.95,1.0
0.5,0.5
0.5,0.5
1.0,0.6
0.75,0.5
1.0,0.9
0.95,0.75
0.5,0.25
1.0,0.5
0.95,0.75
0.5,0.875
1.0,0.625
1.0,0.8
1.0,0.9
1.0,1.0
0.5,0.0
0.5,1.0
1.0,0.25
0.75,0.0
1.0,0.65
1.0,0.165
0.9,1.0
1.0,1.0
1.0,0.0
1.0,0.8500000000000001
1.0,0.5
1.0,1.0
1.0,0.5
1.0,1.0
0.5,0.0
0.75,0.625
1.0,1.0
0.95,0.0
0.5,0.5
0.95,0.55
1.0,1.0
1.0,1.0
0.75,0.5
1.0,1.0
1.0,1.0
1.0,0.9
1.0,1.0
1.0,0.9
1.0,1.0
1.0,1.0
0.975,0.65
1.0,1.0
1.0,1.0
0.85,0.85
1.0,0.85
0.75,0.5
0.9,1.0
1.0,1.0
1.0,0.0
1.0,0.9
0.9,1.0
1.0,1.0
1.0,0.5
1.0,1.0
0.85,0.75
0.5,0.5
1.0,0.0
0.95,1.0
1.0,0.5
1.0,1.0
1.0,1.0
0.75,0.0
0.25,0.5
0.5,0.0
1.0,1.0
1.0,1.0
0.5,0.0
0.125,0.25
1.0,1.0
1.0,0.9
0.75,0.0
1.0,1.0
0.9,0.75
1.0,0.625
0.85,0.9
1.0,0.95
1.0,1.0
0.85,0.95
1.0,1.0
0.75,0.25
0.85,0.9
1.0,0.625
1.0,1.0
1.0,1.0
0.665,0.5
1.0,0.25
0.9,1.0
1.0,1.0
0.5,0.5
1.0,1.0
