Baseline,Fine-tuned
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.7
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.75
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.6
1.0,1.0
1.0,1.0
1.0,0.5
1.0,0.0
1.0,0.0
1.0,1.0
1.0,0.6
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.8
0.5,0.75
1.0,0.25
1.0,0.6
1.0,0.8
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,0.0
1.0,0.3
1.0,0.33
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.9
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,0.25
1.0,1.0
1.0,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
1.0,0.8
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.7
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
0.5,0.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.0
0.25,0.0
1.0,1.0
1.0,0.8
1.0,0.0
1.0,1.0
1.0,1.0
1.0,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9
1.0,1.0
1.0,0.5
1.0,1.0
1.0,0.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
